Section,Question,
Section 1: Company Profile & Strategic Alignment,Company Name,
,Primary NAICS Codes (Only GovCon),
,Revenue,
,Number of Employees,
,"Company Type: GovCon, Healthcare, Finance or Industrial",
,What is your company's overall mission and how does AI fit into it?,
,"Do you have a formal AI strategy or roadmap? If yes, please provide details or documents.",
,"Which of the following best describes your AI posture?           
Exploratory – We are researching AI use cases but have not implemented any solutions.  
Experimenting – We are piloting or prototyping AI solutions in limited areas.
Developing – We have active AI development efforts and some early deployments.
Operational – AI is deployed in production and used regularly in business processes.
Strategic – AI is integrated into our core strategy and drives significant business value.
Transformational – AI is a key driver of innovation and competitive advantage across the enterprise.",
,"Is there a designated AI lead, chief AI officer, or equivalent executive role? If yes, provide name/title.",
,Who is responsible to AI strategy within your organization?,
,What % of your internal Executive/Management Team meetings are discussing AI initiatives?,
,What business outcomes are you aiming to achieve with AI over the next 12–24 months?,
,"Which of the following best describes your AI investment approach? Opportunistic, Strategic, Innovation-led, or Not yet defined",
,In which areas does your leadership see the greatest risk or resistance to AI adoption?,
,Get-Well Plan ‚ Section 1: Company Profile & Strategic Alignment,
Section 2: AI Capabilities & Technical Maturity,"Which of the following AI/ML capabilities does your company currently possess or deliver? Check all that apply:
	•Data engineering and preparation
	•Machine learning model development
	•Natural language processing (NLP)
	•Computer vision
	•Generative AI (e.g., LLMs, synthetic media)
	•MLOps / model deployment and monitoring
	•AI for predictive analytics and decision support
	•AI integration into existing applications or workflows
	•Responsible AI (ethics, fairness, explainability)
	•Compliance with AI-related standards or frameworks (e.g., NIST, HIPAA, GDPR)",
,"Describe your internal AI development capability (e.g., number of AI/ML engineers, data scientists, tools used).",
,"Do you use open-source, proprietary, or government-provided models? Please specify examples.",
,What development frameworks and toolchains are most commonly used?,
,Do you have a formal AI/ML lifecycle management system in place?,
,"Do you conduct independent AI R&D? If yes, list notable efforts, funding sources, or publications.",
,How frequently do you use AI tools in your day-to-day work?,
,"What types of AI tools do you personally use? (Check all that apply)
	•	None of the above
	•	ChatGPT
	•	Microsoft Copilot
	•	Grammarly
	•	Salesforce Einstein
	•	Perplexity
	•	Custom AI tools
	•	Other (please specify)",
,"For which tasks do you most commonly use AI? Include Use Case Summary, if Applicable (Select all that apply + Fill in Blank for Use Case).
	•	None of the above
	•	Writing and content creation
	•	Data analysis and visualization
	•	Automating repetitive tasks
	•	Generating code or scripts
	•	Research and summarization
	•	Translation or communication
	•	Other (please specify; fill in the blank. Can be multiple)",
,How confident are you in using AI tools effectively?,
,"In which business functions is AI currently being used? Please select all that apply:
	•	Finance
	•	Operations
	•	Marketing
	•	HR
	•	Customer Service
	•	Engineering
	•	Other (please specify)",
,How do you currently measure the impact or success of your AI solutions?,
,"Which stages of the AI lifecycle are you strongest in, and which need the most improvement?",
,Do you follow any AI maturity model or framework to guide capability development?,
,What AI capabilities do you consider essential to build or acquire in the next 12–24 months?,
,Do you have a data infrastructure strategy?,
,Get-Well Plan AI Section 2: AI Capabilities & Technical Maturity,
Section 3: Government AI Integration & Contract Performance,On which contracts have you delivered AI-enabled capabilities?,
